"term","estimate","std.error","statistic","p.value","conf.low","conf.high","OR","CI_low","CI_high","gene","bonferroni_corrected"
"(Intercept)",-2.36712361413165,0.190940653956492,-12.3971693040866,2.70719038820768e-35,-2.76211637187836,-2.01094996747599,0.0937499999999973,0.0631579610838743,0.133861450224828,"65",3.32984417749545e-33
"(Intercept)",-2.40694510831817,0.330165058695899,-7.29012669549355,3.09663680659111e-13,-3.11993047008766,-1.8117596379981,0.0900900900901007,0.0441602387704818,0.163366417979766,"14",3.80886327210707e-11
"(Intercept)",-2.43923661295485,0.197052151756313,-12.3786347482842,3.41095697840416e-35,-2.8478921523212,-2.07248739133133,0.0872274143302144,0.0579663764844517,0.125872298325039,"66",4.19547708343712e-33
"(Intercept)",-2.47148362945589,0.208274766542568,-11.8664573269406,1.76796897980899e-32,-2.90500764268601,-2.08506545643533,0.0844594594594573,0.0547483721752735,0.124298983731101,"46",2.17460184516506e-30
"(Intercept)",-2.49320545260274,0.189968824468576,-13.1242874170396,2.39020463215987e-39,-2.88652238652309,-2.13918396980617,0.0826446280991701,0.0557698216510366,0.117750892110284,"51",2.93995169755664e-37
"(Intercept)",-2.5927640456444,0.189280476857407,-13.6980003891137,1.04358831501834e-42,-2.98489345061727,-2.24026600515145,0.0748129675810485,0.0505448887889335,0.106430189634773,"90",1.28361362747256e-40
"(Intercept)",-2.60515577793954,0.189199332769769,-13.7693708524315,3.89591125422359e-43,-2.99714515460564,-2.25283728151086,0.0738916256157665,0.0499294058297437,0.105100601130457,"91",4.79197084269502e-41
"(Intercept)",-2.60750897186788,0.216062891078049,-12.0682869643078,1.55334156930346e-33,-3.0588802240463,-2.20796430976732,0.0737179487188665,0.0469402283407937,0.109924192510179,"54",1.91061013024326e-31
"(Intercept)",-2.60761580378045,0.189183339092892,-13.7835383194081,3.20186137636788e-43,-2.99957757976009,-2.2553326946568,0.0737100737100727,0.0498081038758276,0.104838658672005,"57",3.93828949293249e-41
"(Intercept)",-2.61251777438069,0.18915158235763,-13.8117680107015,2.16453120282522e-43,-3.00442474618909,-2.26030492841243,0.0733496332518307,0.0495672598838376,0.104318670177944,"50",2.66237337947503e-41
"(Intercept)",-2.61495977803622,0.189135818193113,-13.825830575181,1.78045472767009e-43,-3.00683954445838,-2.26278181037718,0.0731707317073158,0.0494477093537575,0.104060604875774,"58",2.18995931503421e-41
"sen1",-2.62626397644354,0.737708726416818,-3.56002834506211,0.000370814766382832,-4.4569096535441,-1.4091464711708,0.0723482527296099,0.0115981502644733,0.244351755439961,"22",0.0456102162650883
"(Intercept)",-2.63428405086256,0.18901237480901,-13.9370983171044,3.76956721622955e-44,-3.02595077302064,-2.28237918892394,0.0717703349282325,0.0485116757440421,0.102041142526296,"11",4.63656767596234e-42
"(Intercept)",-2.63667353825998,0.188997270292989,-13.9508551323124,3.10855754296106e-44,-3.02831419126912,-2.28480209185556,0.0715990453460619,0.0483971577445946,0.101794206015323,"30",3.8235257778421e-42
"(Intercept)",-2.63905732961525,0.188982236504615,-13.9645787796082,2.56416947684433e-44,-3.03067203531139,-2.28721914191903,0.0714285714285718,0.0482831792191422,0.101548461431334,"1",3.15392845651853e-42
"(Intercept)",-2.67057508993566,0.192014044965631,-13.9082278612154,5.64610877922772e-44,-3.06893786221159,-2.31346564063054,0.0692124105011934,0.0464704867141637,0.0989178431419988,"70",6.9447137984501e-42
"(Intercept)",-2.67873581343344,0.188737020355798,-14.1929538168167,1.01300288251343e-45,-3.06992725944385,-2.32744005843689,0.068649885583524,0.0464245316808671,0.0975451375927845,"47",1.24599354549152e-43
"(Intercept)",-2.68330203141307,0.188709400034423,-14.2192282468367,6.96164356459443e-46,-3.07444579897473,-2.33206736828983,0.0683371298405428,0.0462152338157097,0.0970948087256333,"48",8.56282158445115e-44
"seo1",-2.6859742467658,0.73770688908707,-3.6409775840507,0.000271604785816304,-4.5166244957222,-1.46885365209912,0.0681547620845005,0.0109258417193138,0.230189210915863,"26",0.0334073886554054
"(Intercept)",-2.68784749378471,0.188682026249132,-14.2453817526621,4.78923655100843e-46,-3.07894400769,-2.33667337605317,0.0680272108843523,0.0460078149046988,0.0966486176514783,"40",5.89076095774037e-44
"(Intercept)",-2.68784749378471,0.188682026249132,-14.2453817526621,4.78923655100843e-46,-3.07894400769,-2.33667337605317,0.0680272108843523,0.0460078149046988,0.0966486176514783,"41",5.89076095774037e-44
"(Intercept)",-2.6960740100555,0.195253487205534,-13.8080709780997,2.27851632852748e-43,-3.10164036056317,-2.33332189281054,0.0674698795180721,0.0449753660342315,0.0969730772807603,"49",2.8025750840888e-41
"(Intercept)",-2.69912157035795,0.1886146489531,-14.3102435857413,1.88850701587353e-46,-3.09010180843584,-2.34809644245445,0.0672645739910285,0.0454973221576209,0.0955508758001599,"42",2.32286362952444e-44
"(Intercept)",-2.70582550608008,0.188574931593619,-14.3488081009154,1.08383935377639e-46,-3.09673717360841,-2.35488822278873,0.0668151447661485,0.0451964301787833,0.0949041140589802,"96",1.33312240514495e-44
"(Intercept)",-2.70805020110222,0.188561808316411,-14.3616049574474,9.01157871530922e-47,-3.09893921140492,-2.3571419426009,0.0666666666666662,0.0450970154289521,0.0946904676169086,"52",1.10842418198303e-44
"(Intercept)",-2.72348600923199,0.188471528727213,-14.4503842443697,2.49291241819852e-47,-3.11421914755938,-2.37277741518708,0.0656455142231986,0.0444131737460933,0.0932214517124242,"77",3.06628227438418e-45
"(Intercept)",-2.72785282839841,0.188446232572602,-14.4754967566011,1.73070836674545e-47,-3.118542333491,-2.37720014179839,0.0653594771241819,0.0442215817804246,0.0928100691041655,"60",2.1287712910969e-45
"(Intercept)",-2.72785282839841,0.188446232572604,-14.475496756601,1.73070836674755e-47,-3.118542333491,-2.37720014179838,0.0653594771241818,0.0442215817804243,0.0928100691041662,"62",2.12877129109949e-45
